V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113
0,1.319061731338657,27.96360673765183,28.626359731318747,1080.3916589926077,2143.5289260499803,2143.5289260499803,2715.4134029687107,3357.361174890433,603.0812372513484,632.6064118676603,634.4856598199963,589.3743862638576,578.8728814758301,549.989730890326,543.6967849618227,3279.6961482883285,2122.7083380479567,1870.028185084461,1876.8742107857388,1871.1674672254653,1863.5355193348537,1854.4258444338443,1854.4258444338443,2728.836096376502,1761.0584674938548,1761.0584674938548,1763.0320745368565,1775.4377024263704,1833.8721666061033,1834.9193730737568,1836.7323914369026,1711.2937857093932,3371.62926805146,3400.1793277552606,1402.4588977888786,1997.072710236109,3261.5746407396537,4016.1723942617555,3817.036702897618,3809.0483373692055,3221.2591578273014,5775.842379380902,3396.977836457932,2163.128750826417,3566.755172624636,2516.519372653596,2209.23842885556,2218.0038503362066,5759.057376551038,3311.842374567152,2077.715850840769,2081.6819220287816,2101.379386181989,2101.379386181989,2236.234067515381,2232.250707073294,3255.0181750493034,1652.70383979857,1686.9206586359355,1856.7901064834473,3008.143380748209,3011.3916860956674,1176.1005769705248,1043.8194150954128,1037.1605203157771,1115.4030723245667,1123.5680302579792,3461.7527253855715,3457.9694528186174,1761.0584674938548,1329.9368555283163,2463.015880010535,2419.5441532209434,2411.6980732844318,2372.8875195214705,2377.4703446004146,1599.2644927832694,1366.93748963228,1366.93748963228,1298.3226979835863,1291.6828862565578,3156.6832605964423,3836.4747670054767,1896.1424333332525,1896.1424333332525,1902.8441133977922,1743.733171177294,3286.3280085924084,3384.135740768872,1949.7700593741931,1950.6289635698324,2531.8025943785633,2056.8479575527244,1806.433791453813,3246.7228056083804,2348.6705505039267,2092.7393527769973,3068.928231868685,3152.9078735675507,3159.076621437905,3096.9142179565943,2291.0244821981496,2042.8582080435622,3268.9275000223242,3255.0181750493034,1399.9118115092213,1064.2240832494888,1640.3577205191361,1604.2833423329862,1643.488691778385,1651.9412016853978,1114.9146501351897
1.319061731338657,0,27.811993821212276,28.41293665147321,1078.4030698925392,2140.6865242751196,2140.6865242751196,2713.3366782441117,3361.4169763419995,601.1166706650058,630.7508008416124,632.6064118676609,587.1292819839884,576.6529344555648,548.1171835617138,541.8049997326918,3283.6009047671446,2119.9368733800443,1869.1755357165712,1876.0238663134057,1870.3991585385963,1862.7769242874579,1853.7007813760374,1853.7007813760374,2731.356702290372,1763.0320745368565,1763.0320745368565,1765.0157583237292,1777.4461438981348,1835.7203602254654,1836.7323914369033,1838.5555913609874,1713.4625091974005,3375.658009341031,3404.210148049939,1406.0321108311584,1994.1408914230797,3264.826193959294,4019.5812615731224,3820.4688991856938,3812.4660860439676,3224.8734503333258,5779.52555955579,3401.020482264967,2160.1349982426236,3570.135219045956,2517.867834087799,2212.2419821872354,2221.0082026168666,5762.736246873168,3315.0350975743704,2081.6599401198623,2085.631134691938,2105.3270891415177,2105.3270891415177,2240.218362776555,2236.23406751538,3258.803587379113,1656.5226744343254,1690.6861753237795,1857.9817881883318,3011.3916860956674,3014.643956444478,1177.2347993007206,1045.2000550471216,1038.548398632573,1117.010402813915,1125.183329789695,3465.5378527328317,3461.75272538557,1763.0320745368565,1333.3190880144844,2465.505597254697,2423.5552668183122,2415.709991859522,2376.905534015425,2381.492922053115,1599.9395259990422,1365.448619277593,1365.448619277593,1296.865735165871,1290.2200327772407,3160.276525865406,3839.9165193391273,1894.7473647173513,1894.7473647173513,1901.4526320804623,1745.732727966261,3290.2247762178895,3388.064104329555,1948.9781784501881,1949.9305354579128,2532.536309166674,2060.714912937334,1808.8311846376098,3250.014671118833,2346.374590833475,2096.6071059747974,3071.3077653309115,3155.6304085582674,3161.7960329805687,3099.618247730388,2294.142263447488,2046.7640761923903,3272.7103732149885,3258.803587379113,1403.469064131872,1062.3003629376299,1642.3251776820914,1606.2581441792656,1645.58851227954,1654.0453229672046,1116.3646621478044
27.96360673765183,27.811993821212276,0,0.8464791007993824,1068.4690147685294,2166.969125163334,2166.969125163334,2739.5709895790283,3344.6283887410077,591.2081267708462,620.073276121207,622.0882509332914,579.2647768565267,568.6082091870809,537.6158678919774,531.4406803063301,3262.2989344994626,2146.282492853222,1852.3219848255349,1859.1580832840323,1853.115027990857,1845.4441869206835,1836.2003879500382,1836.2003879500382,2704.9117722264173,1736.907440846562,1736.907440846562,1738.8794662808723,1751.2820430129345,1809.7567912496297,1810.8192054292003,1812.627589912,1687.1480569971743,3357.062325963208,3385.69725745428,1381.8630824367551,2020.3196427617388,3239.3188232073812,3994.6057653351854,3795.5887495168404,3787.526829386238,3200.9152430478002,5756.008317715479,3383.070471757492,2186.223416286272,3545.050387898572,2492.8141063540816,2186.183302437312,2194.9508204223307,5739.18854541245,3289.367773176024,2061.0022002225655,2065.0638284268925,2084.7321316915186,2084.7321316915186,2220.3533004243495,2216.3478417721426,3236.134062114619,1634.2164520799963,1667.8655861189739,1833.2988921908095,2985.8758904574056,2989.1395705274126,1152.7053886762985,1020.086389096413,1013.4189872625143,1091.438940395696,1099.5972722796262,3442.8635895448106,3439.0612215002534,1736.907440846562,1308.2646979751905,2439.0600819419324,2404.381720931444,2396.560913487784,2357.949748240822,2362.6921827495567,1576.722697599349,1352.2091055628716,1352.2091055628716,1283.441046031492,1276.8318997714828,3136.193646911236,3815.076366106891,1880.898135893891,1880.898135893891,1887.5817101500697,1719.5784764944294,3268.81079871096,3367.1164253060165,1931.8097683513672,1932.293401024304,2509.1224009754137,2038.9379790237147,1782.398279201133,3224.6286456110206,2372.768324453269,2074.8389159022404,3044.8800156997127,3129.2542881767913,3135.417928686075,3073.2308602693056,2268.301701505351,2025.503879442764,3250.017043958329,3236.134062114619,1379.2118404789576,1051.9218612556765,1616.2078114607925,1580.1321863854487,1619.3322599223118,1627.7851493058424,1091.1013489415664
28.626359731318747,28.41293665147321,0.8464791007993824,0,1068.4690147685294,2166.969125163334,2166.969125163334,2739.5709895790283,3344.6283887410077,591.2081267708462,620.073276121207,622.0882509332914,579.2647768565267,568.6082091870809,537.6158678919774,531.4406803063301,3262.2989344994626,2146.282492853222,1852.3219848255349,1859.1580832840323,1853.115027990857,1845.4441869206835,1836.2003879500382,1836.2003879500382,2704.9117722264173,1736.907440846562,1736.907440846562,1738.8794662808723,1751.2820430129345,1809.7567912496297,1810.8192054292003,1812.627589912,1687.1480569971743,3357.062325963208,3385.69725745428,1381.8630824367551,2020.3196427617388,3239.3188232073812,3994.6057653351854,3795.5887495168404,3787.526829386238,3200.9152430478002,5756.008317715479,3383.070471757492,2186.223416286272,3545.050387898572,2492.8141063540816,2186.183302437312,2194.9508204223307,5739.18854541245,3289.367773176024,2061.0022002225655,2065.0638284268925,2084.7321316915186,2084.7321316915186,2220.3533004243495,2216.3478417721426,3236.134062114619,1634.2164520799963,1667.8655861189739,1833.2988921908095,2985.8758904574056,2989.1395705274126,1152.7053886762985,1020.086389096413,1013.4189872625143,1091.438940395696,1099.5972722796262,3442.8635895448106,3439.0612215002534,1736.907440846562,1308.2646979751905,2439.0600819419324,2404.381720931444,2396.560913487784,2357.949748240822,2362.6921827495567,1576.722697599349,1352.2091055628716,1352.2091055628716,1283.441046031492,1276.8318997714828,3136.193646911236,3815.076366106891,1880.898135893891,1880.898135893891,1887.5817101500697,1719.5784764944294,3268.81079871096,3367.1164253060165,1931.8097683513672,1932.293401024304,2509.1224009754137,2038.9379790237147,1782.398279201133,3224.6286456110206,2372.768324453269,2074.8389159022404,3044.8800156997127,3129.2542881767913,3135.417928686075,3073.2308602693056,2268.301701505351,2025.503879442764,3250.017043958329,3236.134062114619,1379.2118404789576,1051.9218612556765,1616.2078114607925,1580.1321863854487,1619.3322599223118,1627.7851493058424,1091.1013489415664
1080.3916589926077,1078.4030698925392,1068.4690147685294,1068.4690147685294,0,2645.9937784978993,2645.9937784978993,3375.894982019503,3968.354516736326,477.33069652294665,448.76749131617106,446.56855426690953,494.66777651362963,504.38020909991735,530.9330285260107,537.0487298948037,3674.165535210673,2647.19766483964,895.7619352903636,902.5437033895208,911.1455945888098,905.7692726835711,903.2944934108311,903.2944934108311,2515.201636797,1502.786471308601,1502.786471308601,1507.390482678775,1524.7076212752813,1523.183494502409,1513.579218353317,1518.058192182648,1523.4513364666773,3904.412836720902,3935.7487707342266,1781.8610343749688,2486.2535054570517,3287.3240069898493,4077.088910310374,3897.663493446127,3883.015994791417,3425.5969518149436,5932.922056572913,3957.955827072731,2617.7533204129995,3634.1142212614636,1971.0410890447622,2223.257414367016,2231.253205732892,5913.852585310369,3309.3061945006484,2583.181795827547,2591.3710274491223,2607.992806957162,2607.992806957162,2767.973032559688,2763.2749332983453,3561.020782348252,2115.072390802647,2113.1452893737146,1354.2770739407742,3048.5811482966396,3053.3284760058195,874.7020391876706,882.073586896715,881.3937273775342,971.0146760045792,976.976365298807,3757.565656979639,3752.702460020904,1502.786471308601,1646.8216167871494,2264.2698538266386,2971.0353059626195,2964.786712093555,2937.061107083119,2948.1789278438496,1013.7947770025711,330.690469824693,330.690469824693,276.85260271992803,270.2399984250839,3353.2130051416125,3920.9261411303146,847.4235710467389,847.4235710467389,854.3453336190643,1497.0099810019708,3673.720383739854,3794.9375235554808,980.557746302859,997.1883972935985,1830.3693965320645,2503.6273939938837,1671.16612634843,3291.123892293452,2978.140133889632,2536.627275227033,2782.4317593184524,2977.757253827872,2982.4088840080717,2918.871612189715,2340.016809552433,2519.8927940537537,3572.521545136025,3561.020782348252,1772.8184643027912,28.484821375365662,1407.673443166073,1382.8119116160005,1450.0891619069814,1457.8327640758544,929.4888117252715
2143.5289260499803,2140.6865242751196,2166.969125163334,2166.969125163334,2645.9937784978993,0,1.2245258007125426,801.5403343563952,5100.104974003077,2382.0145916627657,2413.3376121807173,2410.8105313473093,2333.034692193471,2332.3771815480713,2368.171222789479,2362.4878665053875,5239.787256184282,54.76568693449956,3521.1817391006953,3527.5753686653306,3542.5103355359006,3538.275998031893,3538.363968667616,3538.363968667616,4865.139782877892,3868.3395184002134,3868.3395184002134,3871.049582488363,3885.1575025196603,3930.065471053191,3928.038145079663,3930.7172130533017,3832.409433637238,5202.585089010833,5225.926334595031,3507.020738416712,159.7652561356266,5389.1565949297,6123.154066844551,5921.2704619513115,5915.537529084173,5294.255163745195,7806.284174596007,5195.348352497116,115.07786337431814,5679.544715121747,4544.107382041994,4350.988367589632,4359.731177539273,7791.192137338522,5443.9437873353645,4052.8304657735484,4053.3350573854227,4073.135196205421,4073.135196205421,4174.177833256501,4171.206885520676,5275.107489429575,3699.874304151101,3748.2694109999716,3882.6908649119164,5136.590124226199,5139.502844314187,3225.266108228852,3121.1879583469977,3115.394224717419,3207.602978986902,3216.1075426053767,5478.4824680065,5475.5104022572195,3868.3395184002134,3455.3153809734663,4598.37473739461,4320.690344637458,4312.2583693104625,4267.676908430102,4265.693463860663,3568.721034252202,2962.4450511392643,2962.4450511392643,2919.395039628875,2913.1628381434957,5235.1335365700525,5939.1000192226975,3399.0779292654975,3399.0779292654975,3405.5442287400642,3853.14994389317,5251.240120549907,5325.447277645692,3604.34634164757,3627.754778397825,4461.974401772341,4072.50645715214,3939.240676981852,5370.6400714116535,434.8792817542389,4106.840493829877,5197.327088362101,5295.262095175111,5301.370547005491,5238.909456473681,4428.8971742708,4040.9773393840537,5289.7770829977735,5275.107489429575,3506.6266440079476,2651.1724676979197,3748.655829895235,3713.568679491977,3760.851070111337,3769.5018999922268,3194.9576842758374
2143.5289260499803,2140.6865242751196,2166.969125163334,2166.969125163334,2645.9937784978993,1.2245258007125426,0,801.5403343563952,5100.104974003077,2382.0145916627657,2413.3376121807173,2410.8105313473093,2333.034692193471,2332.3771815480713,2368.171222789479,2362.4878665053875,5239.787256184282,54.76568693449956,3521.1817391006953,3527.5753686653306,3542.5103355359006,3538.275998031893,3538.363968667616,3538.363968667616,4865.139782877892,3868.3395184002134,3868.3395184002134,3871.049582488363,3885.1575025196603,3930.065471053191,3928.038145079663,3930.7172130533017,3832.409433637238,5202.585089010833,5225.926334595031,3507.020738416712,159.7652561356266,5389.1565949297,6123.154066844551,5921.2704619513115,5915.537529084173,5294.255163745195,7806.284174596007,5195.348352497116,115.07786337431814,5679.544715121747,4544.107382041994,4350.988367589632,4359.731177539273,7791.192137338522,5443.9437873353645,4052.8304657735484,4053.3350573854227,4073.135196205421,4073.135196205421,4174.177833256501,4171.206885520676,5275.107489429575,3699.874304151101,3748.2694109999716,3882.6908649119164,5136.590124226199,5139.502844314187,3225.266108228852,3121.1879583469977,3115.394224717419,3207.602978986902,3216.1075426053767,5478.4824680065,5475.5104022572195,3868.3395184002134,3455.3153809734663,4598.37473739461,4320.690344637458,4312.2583693104625,4267.676908430102,4265.693463860663,3568.721034252202,2962.4450511392643,2962.4450511392643,2919.395039628875,2913.1628381434957,5235.1335365700525,5939.1000192226975,3399.0779292654975,3399.0779292654975,3405.5442287400642,3853.14994389317,5251.240120549907,5325.447277645692,3604.34634164757,3627.754778397825,4461.974401772341,4072.50645715214,3939.240676981852,5370.6400714116535,434.8792817542389,4106.840493829877,5197.327088362101,5295.262095175111,5301.370547005491,5238.909456473681,4428.8971742708,4040.9773393840537,5289.7770829977735,5275.107489429575,3506.6266440079476,2651.1724676979197,3748.655829895235,3713.568679491977,3760.851070111337,3769.5018999922268,3194.9576842758374
2715.4134029687107,2713.3366782441117,2739.5709895790283,2739.5709895790283,3375.894982019503,801.5403343563952,801.5403343563952,0,5280.813562268941,3059.492959077498,3092.9322017135232,3091.041141254873,3012.8440493668554,3010.328060208179,3036.99572913442,3030.7183224550568,5544.302659140909,777.1139655230392,4265.450399927635,4272.040787141966,4284.003982786151,4279.136532660517,4277.719277039727,4277.719277039727,5431.651997662839,4475.940392671838,4475.940392671838,4478.007075895717,4490.603448479993,4546.8044116863975,4547.065225015407,4549.114460723939,4426.365290826107,5427.605252280623,5447.10905811352,3980.6742696618826,944.9770151234032,5855.189748765138,6545.170536950639,6342.273632921127,6339.77247749588,5689.580757714373,8115.8541823455635,5402.267176060165,883.872529250993,6116.375030179677,5204.320189887152,4869.049606673905,4877.570591689574,8102.659434947727,5918.912216550541,4409.764997832875,4408.110266944192,4427.099290597316,4427.099290597316,4503.251367810135,4501.012008285763,5623.3676796298205,4119.475542984993,4176.352245800705,4538.892232003684,5607.760747231773,5609.973197437234,3863.90625113718,3744.9440473991053,3738.6303966594237,3823.7282508490816,3832.085227314645,5819.008409221671,5816.769525045967,4475.940392671838,3954.11052397074,5168.2422211716585,4621.804799827069,4613.422659585554,4567.64040460891,4562.080645912996,4242.766022110256,3700.760133780819,3700.760133780819,3652.4179422634634,3645.903052267573,5637.29010846788,6357.641762174895,4161.090775228324,4161.090775228324,4167.715710934111,4458.839192812092,5558.779990716875,5614.58043555143,4349.679469421544,4369.928494797129,5159.131180540648,4455.002307894213,4516.924177889852,5830.0385449067335,399.3437879085344,4486.926815611314,5778.312888993036,5837.824060187632,5844.280458658073,5783.9756563136725,4931.917674354404,4413.025687668746,5638.284658554981,5623.3676796298205,3982.427302970515,3378.173732555153,4355.202616195242,4319.204466835198,4358.888784948754,4367.333773984003,3818.0482606580126
3357.361174890433,3361.4169763419995,3344.6283887410077,3344.6283887410077,3968.354516736326,5100.104974003077,5100.104974003077,5280.813562268941,0,3672.1073944467603,3673.3103419946324,3677.792001294179,3702.1828109515427,3692.242819003686,3630.1917067016516,3629.194217891243,789.9877830945518,5056.983684570392,4095.007302380684,4097.992848905603,4063.2254933078,4055.280098106686,4037.4102190393237,4037.4102190393237,2561.500069353753,2853.7136138727474,2853.7136138727474,2848.712327150067,2836.118235241229,2916.1888434310135,2933.799697093396,2928.7931394369734,2760.929658287887,295.38667371573297,285.1852957142197,2189.734782732429,5002.546600674081,1923.3038056585954,1993.4030636641305,1861.400047365839,1879.093616689407,1397.7743142469074,2922.948907518242,191.48571945855932,5170.6969408482155,1837.2656972977034,3325.801049439602,2173.4043058436305,2171.0979431337537,2913.673009455993,2008.102934064905,1388.3538508429972,1379.5224024656914,1363.844547546618,1363.844547546618,1202.0023268493503,1206.7501071330428,1080.2149371208966,1854.2996220005457,1861.736179331377,3234.620362431394,1887.438569651901,1883.029866780163,3184.365410059085,3118.3877597651554,3117.0109958007215,3046.55871214491,3043.1685284031973,1111.3392437177731,1114.5029468140358,2853.7136138727474,2329.161908453015,2553.216306999762,998.3769860119411,1004.341540359757,1031.2963872872276,1020.4016933367519,3397.3507620903033,4016.6551809083835,4016.6551809083835,3967.192276267541,3964.9524457437383,1427.0019982331191,1856.0654628400039,4315.760789599665,4315.760789599665,4318.77094191897,2841.557467254488,812.5898030753204,726.4994909657871,4116.437702536417,4079.6800735810643,3687.4570125393907,1484.4418236892907,2632.2019363221802,1868.9946122024066,5070.870208719653,1455.168765712966,2761.5006477071347,2474.7303748412432,2479.466314586791,2477.43441166445,2064.350943321546,1457.1495443350661,1086.4831069712438,1080.2149371208966,2199.37140690288,3943.0759655454435,2861.8748991179546,2861.0506312038933,2800.553221753804,2797.7104296324555,3092.840279721369
603.0812372513484,601.1166706650058,591.2081267708462,591.2081267708462,477.33069652294665,2382.0145916627657,2382.0145916627657,3059.492959077498,3672.1073944467603,0,35.01820884522712,34.7237796522017,50.033657181664545,49.65253917401439,55.06628102279344,60.4789717015502,3464.581080094793,2374.3931170978885,1304.6545428188372,1311.5837355523106,1311.2496359672296,1304.3477426843972,1297.6193722664088,1297.6193722664088,2555.757795920231,1529.1813638491847,1529.1813638491847,1532.7122257734097,1548.521902875337,1577.501701915454,1572.8709453332863,1576.2126383515188,1515.573155954168,3639.6364760701217,3670.1085072228593,1532.594366312075,2224.0536042708445,3232.3303147402708,4016.1636059407006,3826.1193419859915,3814.2545863001387,3294.0171813702113,5843.342413196962,3682.061233196884,2372.5696146575806,3565.3505883450994,2162.0982778893713,2150.4450839827036,2159.0444532722354,5825.1710999436355,3267.298358243385,2310.949885784094,2317.63548913695,2335.838026431719,2335.838026431719,2488.975377181499,2484.4754198983983,3387.53119069127,1847.0489990003919,1859.457435644343,1501.5147835555351,2983.194513393763,2987.3548300362804,863.9915259713118,790.0040695248045,785.7008435922592,885.5170529591667,893.689419763512,3590.7926219265096,3586.335828179501,1529.1813638491847,1415.222979704509,2291.605764057256,2687.59147761438,2680.6081545416882,2648.0353733790043,2656.7314442771058,1188.1134205853946,773.0274388264411,773.0274388264411,706.0524117328123,699.2207353785831,3223.9906589109623,3847.946938337352,1303.7129399770683,1303.7129399770683,1310.5251553205312,1517.1986552382261,3467.1081550431754,3579.822375325259,1387.5549688668361,1394.6296543424146,2099.949577328413,2253.1129224164906,1645.7083257039353,3227.86921520253,2669.2304226511164,2288.071805784917,2862.669921607599,3009.1963306325592,3014.627427504522,2950.656578379958,2254.957178187164,2257.5883034606077,3400.2041685484837,3387.53119069127,1525.6963421407484,461.25524855176593,1415.0831059118907,1382.7593293847483,1440.3706445075168,1448.9807023352807,860.0460251536919
